home,score,away,year
Argentina ,0–2, Uruguay,1926
Uruguay ,6–0, Bolivia,1926
Chile ,1–1, Argentina,1926
Uruguay ,6–1, Paraguay,1926
Chile ,5–1, Paraguay,1926
Argentina ,7–1, Bolivia,1927
Uruguay ,4–0, Peru,1927
Uruguay ,9–0, Bolivia,1927
Peru ,3–2, Bolivia,1927
Argentina ,3–2, Uruguay,1927
Argentina ,5–1, Peru,1927
Uruguay ,0–3, Paraguay,1929
Argentina ,3–0, Peru,1929
Argentina ,4–1, Paraguay,1929
Peru ,1–4, Uruguay,1929
Paraguay ,5–0, Peru,1929
Argentina ,2–0, Uruguay,1929
Argentina ,4–1, Chile,1935
Uruguay ,1–0, Peru,1935
Uruguay ,2–1, Chile,1935
Argentina ,4–1, Peru,1935
Peru ,1–0, Chile,1935
Argentina ,0–3, Uruguay,1935
Brazil ,3–2, Peru,1937
Argentina ,2–1, Chile,1937
Paraguay ,4–2, Uruguay,1937
Brazil ,6–4, Chile,1937
Uruguay ,4–2, Peru,1937
Argentina ,6–1, Paraguay,1937
Uruguay ,0–3, Chile,1937
Brazil ,5–0, Paraguay,1937
Argentina ,1–0, Peru,1937
Paraguay ,3–2, Chile,1937
Brazil ,3–2, Uruguay,1937
Peru ,2–2, Chile,1937
Argentina ,2–3, Uruguay,1937
Paraguay ,0–1[2], Peru,1937
Argentina ,1–0, Brazil,1937
Argentina ,2–0 (a.e.t.), Brazil,1937
Paraguay ,5–1, Chile,1939
Peru ,5–2, Ecuador,1939
Uruguay ,6–0, Ecuador,1939
Peru ,3–1, Chile,1939
Uruguay ,3–2, Chile,1939
Peru ,3–0, Paraguay,1939
Chile ,4–1, Ecuador,1939
Uruguay ,3–1, Paraguay,1939
Paraguay ,3–1, Ecuador,1939
Peru ,2–1, Uruguay,1939
Chile ,5–0, Ecuador,1941
Uruguay ,6–0, Ecuador,1941
Chile ,1–0, Peru,1941
Argentina ,2–1, Peru,1941
Argentina ,6–1, Ecuador,1941
Uruguay ,2–0, Chile,1941
Peru ,4–0, Ecuador,1941
Argentina ,1–0, Uruguay,1941
Uruguay ,2–0, Peru,1941
Argentina ,1–0, Chile,1941
Uruguay ,6–1, Chile,1942
Argentina ,4–3, Paraguay,1942
Brazil ,6–1, Chile,1942
Argentina ,2–1, Brazil,1942
Uruguay ,7–0, Ecuador,1942
Paraguay ,1–1, Peru,1942
Brazil ,2–1, Peru,1942
Paraguay ,2–0, Chile,1942
Argentina ,12–0, Ecuador,1942
Uruguay ,1–0, Brazil,1942
Paraguay ,3–1, Ecuador,1942
Argentina ,3–1, Peru,1942
Peru ,2–1, Ecuador,1942
Uruguay ,3–1, Paraguay,1942
Argentina ,0–0, Chile,1942
Brazil ,5–1, Ecuador,1942
Uruguay ,3–0, Peru,1942
Chile ,2–1, Ecuador,1942
Brazil ,1–1, Paraguay,1942
Chile ,0–0, Peru,1942
Uruguay ,1–0, Argentina,1942
Chile ,6–3, Ecuador,1945
Argentina ,4–0, Bolivia,1945
Brazil ,3–0, Colombia,1945
Chile ,5–0, Bolivia,1945
Uruguay ,5–1, Ecuador,1945
Uruguay ,7–0, Colombia,1945
Brazil ,2–0, Bolivia,1945
Chile ,2–0, Colombia,1945
Argentina ,4–2, Ecuador,1945
Argentina ,9–1, Colombia,1945
Brazil ,3–0, Uruguay,1945
Bolivia ,0–0, Ecuador,1945
Chile ,1–1, Argentina,1945
Uruguay ,2–0, Bolivia,1945
Argentina ,3–1, Brazil,1945
Colombia ,3–1, Ecuador,1945
Chile ,1–0, Uruguay,1945
Bolivia ,3–3, Colombia,1945
Brazil ,9–2, Ecuador,1945
Argentina ,1–0, Uruguay,1945
Brazil ,1–0, Chile,1945
Argentina ,2–0, Paraguay,1946
Brazil ,3–0, Bolivia,1946
Uruguay ,1–0, Chile,1946
Chile ,2–1, Paraguay,1946
Argentina ,7–1, Bolivia,1946
Brazil ,4–3, Uruguay,1946
Paraguay ,4–2, Bolivia,1946
Argentina ,3–1, Chile,1946
Uruguay ,5–0, Bolivia,1946
Brazil ,1–1, Paraguay,1946
Argentina ,3–1, Uruguay,1946
Brazil ,5–1, Chile,1946
Chile ,4–1, Bolivia,1946
Paraguay ,2–1, Uruguay,1946
Argentina ,2–0, Brazil,1946
Ecuador ,2–2, Bolivia,1947
Uruguay ,2–0, Colombia,1947
Argentina ,6–0, Paraguay,1947
Argentina ,7–0, Bolivia,1947
Colombia ,0–0, Ecuador,1947
Peru ,2–2, Paraguay,1947
Uruguay ,6–0, Chile,1947
Chile ,2–1, Peru,1947
Uruguay ,3–0, Bolivia,1947
Chile ,3–0, Ecuador,1947
Argentina ,3–2, Peru,1947
Colombia ,0–0, Bolivia,1947
Paraguay ,4–2, Uruguay,1947
Uruguay ,6–1, Ecuador,1947
Argentina ,1–1, Chile,1947
Paraguay ,3–1, Bolivia,1947
Argentina ,6–0, Colombia,1947
Peru ,0–0, Ecuador,1947
Paraguay ,2–0, Colombia,1947
Peru ,5–1, Colombia,1947
Paraguay ,1–0, Chile,1947
Argentina ,2–0, Ecuador,1947
Uruguay ,1–0, Peru,1947
Bolivia ,0–2, Peru,1947
Argentina ,3–1, Uruguay,1947
Paraguay ,4–0, Ecuador,1947
Chile ,4–1, Colombia,1947
Chile ,4–3, Bolivia,1947
Brazil ,9–1, Ecuador,1949
Bolivia ,3–2, Chile,1949
Paraguay ,3–0, Colombia,1949
Peru ,4–0, Colombia,1949
Paraguay ,1–0, Ecuador,1949
Brazil ,10–1, Bolivia,1949
Brazil ,2–1, Chile,1949
Uruguay ,3–2, Ecuador,1949
Paraguay ,3–1, Peru,1949
Brazil ,5–0, Colombia,1949
Chile ,1–0, Ecuador,1949
Bolivia ,3–2, Uruguay,1949
Peru ,4–0, Ecuador,1949
Chile ,1–1, Colombia,1949
Uruguay ,2–1, Paraguay,1949
Brazil ,7–1, Peru,1949
Bolivia ,2–0, Ecuador,1949
Uruguay ,2–2, Colombia,1949
Peru ,3–0, Bolivia,1949
Paraguay ,4–2, Chile,1949
Paraguay ,7–0, Bolivia,1949
Brazil ,5–1, Uruguay,1949
Peru ,3–0, Chile,1949
Ecuador ,4–1, Colombia,1949
Peru ,4–3, Uruguay,1949
Bolivia ,4–0, Colombia,1949
Chile ,3–1, Uruguay,1949
Paraguay ,2–1, Brazil,1949
Brazil ,7–0, Paraguay,1949
Bolivia ,1–0, Peru,1953
Paraguay ,3–0, Chile,1953
Uruguay ,2–0, Bolivia,1953
Peru ,1–0, Ecuador,1953
Brazil ,8–1, Bolivia,1953
Chile ,3–2, Uruguay,1953
Paraguay ,0–0, Ecuador,1953
Chile ,0–0, Peru,1953
Bolivia ,1–1, Ecuador,1953
Peru ,2–2, Paraguay,1953
Paraguay ,2–2, Uruguay,1953
Brazil ,2–0, Ecuador,1953
Brazil ,1–0, Uruguay,1953
Paraguay ,2–1, Bolivia,1953
Chile ,3–0, Ecuador,1953
Peru ,1–0, Brazil,1953
Brazil ,3–2, Chile,1953
Uruguay ,6–0, Ecuador,1953
Paraguay ,2–1, Brazil,1953
Chile ,2–2, Bolivia,1953
Uruguay ,3–0, Peru,1953
Paraguay ,3–2, Brazil,1953
Chile ,7–1, Ecuador,1955
Argentina ,5–3, Paraguay,1955
Chile ,5–4, Peru,1955
Uruguay ,3–1, Paraguay,1955
Argentina ,4–0, Ecuador,1955
Peru ,4–2, Ecuador,1955
Chile ,2–2, Uruguay,1955
Paraguay ,2–0, Ecuador,1955
Argentina ,2–2, Peru,1955
Chile ,5–0, Paraguay,1955
Peru ,1–1, Paraguay,1955
Uruguay ,5–1, Ecuador,1955
Argentina ,6–1, Uruguay,1955
Peru ,2–1, Uruguay,1955
Argentina ,1–0, Chile,1955
Uruguay ,4–2, Paraguay,1956
Argentina ,2–1, Peru,1956
Chile ,4–1, Brazil,1956
Uruguay ,2–0, Peru,1956
Brazil ,0–0, Paraguay,1956
Argentina ,2–0, Chile,1956
Brazil ,2–1, Peru,1956
Argentina ,1–0, Paraguay,1956
Paraguay ,1–1, Peru,1956
Brazil ,1–0, Argentina,1956
Uruguay ,2–1, Chile,1956
Chile ,4–3, Peru,1956
Uruguay ,0–0, Brazil,1956
Chile ,2–0, Paraguay,1956
Uruguay ,1–0, Argentina,1956
Uruguay ,5–2, Ecuador,1957
Peru ,2–1, Ecuador,1957
Argentina ,8–2, Colombia,1957
Brazil ,4–2, Chile,1957
Peru ,1–0, Chile,1957
Colombia ,1–0, Uruguay,1957
Argentina ,3–0, Ecuador,1957
Argentina ,4–0, Uruguay,1957
Brazil ,7–1, Ecuador,1957
Chile ,3–2, Colombia,1957
Uruguay ,5–3, Peru,1957
Chile ,2–2, Ecuador,1957
Brazil ,9–0, Colombia,1957
Peru ,4–1, Colombia,1957
Argentina ,6–2, Chile,1957
Uruguay ,3–2, Brazil,1957
Brazil ,1–0, Peru,1957
Colombia ,4–1, Ecuador,1957
Uruguay ,2–0, Chile,1957
Argentina ,3–0, Brazil,1957
Peru ,2–1, Argentina,1957
Bolivia ,4–4, Ecuador,1963
Argentina ,4–2, Colombia,1963
Brazil ,1–0, Peru,1963
Peru ,2–1, Argentina,1963
Paraguay ,3–1, Ecuador,1963
Brazil ,5–1, Colombia,1963
Bolivia ,2–1, Colombia,1963
Peru ,2–1, Ecuador,1963
Paraguay ,2–0, Brazil,1963
Paraguay ,3–2, Colombia,1963
Argentina ,4–2, Ecuador,1963
Bolivia ,3–2, Peru,1963
Peru ,1–1, Colombia,1963
Argentina ,3–0, Brazil,1963
Bolivia ,2–0, Paraguay,1963
Brazil ,2–2, Ecuador,1963
Paraguay ,4–1, Peru,1963
Bolivia ,3–2, Argentina,1963
Ecuador ,4–3, Colombia,1963
Argentina ,1–1, Paraguay,1963
Bolivia ,5–4, Brazil,1963
Chile ,5–2, Colombia,1967
Colombia ,0–0, Chile,1967
Ecuador ,2–2, Paraguay,1967
Paraguay ,3–1, Ecuador,1967
Uruguay ,4–0, Bolivia,1967
Chile ,2–0, Venezuela,1967
Argentina ,4–1, Paraguay,1967
Uruguay ,4–0, Venezuela,1967
Chile ,4–2, Paraguay,1967
Argentina ,1–0, Bolivia,1967
Paraguay ,1–0, Bolivia,1967
Argentina ,5–1, Venezuela,1967
Uruguay ,2–2, Chile,1967
Venezuela ,3–0, Bolivia,1967
Argentina ,2–0, Chile,1967
Uruguay ,2–0, Paraguay,1967
Paraguay ,5–3, Venezuela,1967
Chile ,0–0, Bolivia,1967
Uruguay ,1–0, Argentina,1967
