home,score,away,year
Uruguay ,1–1, Peru,1983
Paraguay ,1–1, Brazil,1983
Brazil ,0–0, Paraguay,1983
Uruguay ,2–0, Brazil,1983
Brazil ,1–1, Uruguay,1983
Argentina ,1–1, Peru,1987
Argentina ,3–0, Ecuador,1987
Peru ,1–1, Ecuador,1987
Brazil ,5–0, Venezuela,1987
Chile ,3–1, Venezuela,1987
Chile ,4–0, Brazil,1987
Paraguay ,0–0, Bolivia,1987
Colombia ,2–0, Bolivia,1987
Colombia ,3–0, Paraguay,1987
Chile ,2–1 (a.e.t.), Colombia,1987
Uruguay ,1–0, Argentina,1987
Colombia ,2–1, Argentina,1987
Uruguay ,1–0, Chile,1987
Paraguay ,5–2, Peru,1989
Brazil ,3–1, Venezuela,1989
Colombia ,4–2, Venezuela,1989
Brazil ,0–0, Peru,1989
Peru ,1–1, Venezuela,1989
Paraguay ,1–0, Colombia,1989
Paraguay ,3–0, Venezuela,1989
Brazil ,0–0, Colombia,1989
Colombia ,1–1, Peru,1989
Brazil ,2–0, Paraguay,1989
Ecuador ,1–0, Uruguay,1989
Argentina ,1–0, Chile,1989
Uruguay ,3–0, Bolivia,1989
Argentina ,0–0, Ecuador,1989
Ecuador ,0–0, Bolivia,1989
Uruguay ,3–0, Chile,1989
Chile ,5–0, Bolivia,1989
Argentina ,1–0, Uruguay,1989
Chile ,2–1, Ecuador,1989
Argentina ,0–0, Bolivia,1989
Uruguay ,3–0, Paraguay,1989
Brazil ,2–0, Argentina,1989
Uruguay ,2–0, Argentina,1989
Brazil ,3–0, Paraguay,1989
Argentina ,0–0, Paraguay,1989
Brazil ,1–0, Uruguay,1989
Chile ,2–0, Venezuela,1991
Paraguay ,1–0, Peru,1991
Chile ,4–2, Peru,1991
Argentina ,3–0, Venezuela,1991
Paraguay ,5–0, Venezuela,1991
Argentina ,1–0, Chile,1991
Peru ,5–1, Venezuela,1991
Argentina ,4–1, Paraguay,1991
Argentina ,3–2, Peru,1991
Chile ,4–0, Paraguay,1991
Colombia ,1–0, Ecuador,1991
Uruguay ,1–1, Bolivia,1991
Uruguay ,1–1, Ecuador,1991
Brazil ,2–1, Bolivia,1991
Colombia ,0–0, Bolivia,1991
Brazil ,1–1, Uruguay,1991
Ecuador ,4–0, Bolivia,1991
Colombia ,2–0, Brazil,1991
Uruguay ,1–0, Colombia,1991
Brazil ,3–1, Ecuador,1991
Argentina ,3–2, Brazil,1991
Chile ,1–1, Colombia,1991
Argentina ,0–0, Chile,1991
Brazil ,2–0, Colombia,1991
Brazil ,2–0, Chile,1991
Argentina ,2–1, Colombia,1991
Ecuador ,6–1, Venezuela,1993
Uruguay ,1–0, United States,1993
Uruguay ,2–2, Venezuela,1993
Ecuador ,2–0, United States,1993
Venezuela ,3–3, United States,1993
Ecuador ,2–1, Uruguay,1993
Paraguay ,1–0, Chile,1993
Brazil ,0–0, Peru,1993
Paraguay ,1–1, Peru,1993
Chile ,3–2, Brazil,1993
Peru ,1–0, Chile,1993
Brazil ,3–0, Paraguay,1993
Colombia ,2–1, Mexico,1993
Argentina ,1–0, Bolivia,1993
Argentina ,1–1, Mexico,1993
Colombia ,1–1, Bolivia,1993
Mexico ,0–0, Bolivia,1993
Argentina ,1–1, Colombia,1993
Ecuador ,3–0, Paraguay,1993
Colombia ,1–1, Uruguay,1993
Argentina ,1–1, Brazil,1993
Mexico ,4–2, Peru,1993
Mexico ,2–0, Ecuador,1993
Argentina ,0–0, Colombia,1993
Ecuador ,0–1, Colombia,1993
Argentina ,2–1, Mexico,1993
Uruguay ,4–1, Venezuela,1995
Paraguay ,2–1, Mexico,1995
Uruguay ,1–0, Paraguay,1995
Mexico ,3–1, Venezuela,1995
Paraguay ,3–2, Venezuela,1995
Uruguay ,1–1, Mexico,1995
Colombia ,1–1, Peru,1995
Brazil ,1–0, Ecuador,1995
Colombia ,1–0, Ecuador,1995
Brazil ,2–0, Peru,1995
Ecuador ,2–1, Peru,1995
Brazil ,3–0, Colombia,1995
United States ,2–1, Chile,1995
Argentina ,2–1, Bolivia,1995
Bolivia ,1–0, United States,1995
Argentina ,4–0, Chile,1995
Bolivia ,2–2, Chile,1995
United States ,3–0, Argentina,1995
Colombia ,1–1, Paraguay,1995
Uruguay ,2–1, Bolivia,1995
United States ,0–0, Mexico,1995
Brazil ,2–2, Argentina,1995
Uruguay ,2–0, Colombia,1995
Brazil ,1–0, United States,1995
Colombia ,4–1, United States,1995
Uruguay ,1–1, Brazil,1995
Paraguay ,1–0, Chile,1997
Ecuador ,0–0, Argentina,1997
Paraguay ,0–2, Ecuador,1997
Argentina ,2–0, Chile,1997
Chile ,1–2, Ecuador,1997
Paraguay ,1–1, Argentina,1997
Peru ,1–0, Uruguay,1997
Bolivia ,1–0, Venezuela,1997
Uruguay ,2–0, Venezuela,1997
Bolivia ,2–0, Peru,1997
Peru ,2–0, Venezuela,1997
Bolivia ,1–0, Uruguay,1997
Mexico ,2–1, Colombia,1997
Brazil ,5–0, Costa Rica,1997
Colombia ,4–1, Costa Rica,1997
Brazil ,3–2, Mexico,1997
Mexico ,1–1, Costa Rica,1997
Brazil ,2–0, Colombia,1997
Peru ,2–1, Argentina,1997
Bolivia ,2–1, Colombia,1997
Mexico ,1–1, Ecuador,1997
Brazil ,2–0, Paraguay,1997
Bolivia ,3–1, Mexico,1997
Brazil ,7–0, Peru,1997
Mexico ,1–0, Peru,1997
Brazil ,3–1, Bolivia,1997
Peru ,3–2, Japan,1999
Paraguay ,0–0, Bolivia,1999
Peru ,1–0, Bolivia,1999
Paraguay ,4–0, Japan,1999
Japan ,1–1, Bolivia,1999
Paraguay ,1–0, Peru,1999
Chile ,0–1, Mexico,1999
Brazil ,7–0, Venezuela,1999
Brazil ,2–1, Mexico,1999
Chile ,3–0, Venezuela,1999
Mexico ,3–1, Venezuela,1999
Brazil ,1–0[note 1], Chile,1999
Uruguay ,0–1, Colombia,1999
Argentina ,3–1, Ecuador,1999
Uruguay ,2–1, Ecuador,1999
Argentina ,0–3, Colombia,1999
Colombia ,2–1, Ecuador,1999
Argentina ,2–0, Uruguay,1999
Peru ,3–3, Mexico,1999
Paraguay ,1–1, Uruguay,1999
Colombia ,2–3, Chile,1999
Brazil ,2–1, Argentina,1999
Uruguay ,1–1, Chile,1999
Mexico ,0–2, Brazil,1999
Chile ,1–2, Mexico,1999
Uruguay ,0–3, Brazil,1999
Ecuador ,1–4, Chile,2001
Colombia ,2–0, Venezuela,2001
Chile ,1–0, Venezuela,2001
Colombia ,1–0, Ecuador,2001
Ecuador ,4–0, Venezuela,2001
Colombia ,2–0, Chile,2001
Peru ,3–3, Paraguay,2001
Brazil ,0–1, Mexico,2001
Brazil ,2–0, Peru,2001
Paraguay ,0–0, Mexico,2001
Peru ,1–0, Mexico,2001
Brazil ,3–1, Paraguay,2001
Bolivia ,0–1, Uruguay,2001
Honduras ,0–1, Costa Rica,2001
Uruguay ,1–1, Costa Rica,2001
Honduras ,2–0, Bolivia,2001
Bolivia ,0–4, Costa Rica,2001
Honduras ,1–0, Uruguay,2001
Chile ,0–2, Mexico,2001
Costa Rica ,1–2, Uruguay,2001
Colombia ,3–0, Peru,2001
Brazil ,0–2, Honduras,2001
Mexico ,2–1, Uruguay,2001
Colombia ,2–0, Honduras,2001
Uruguay ,2–2, Honduras,2001
Mexico ,0–1, Colombia,2001
Venezuela ,0–1, Colombia,2004
Peru ,2–2, Bolivia,2004
Colombia ,1–0, Bolivia,2004
Peru ,3–1, Venezuela,2004
Venezuela ,1–1, Bolivia,2004
Peru ,2–2, Colombia,2004
Mexico ,2–2, Uruguay,2004
Argentina ,6–1, Ecuador,2004
Uruguay ,2–1, Ecuador,2004
Argentina ,0–1, Mexico,2004
Mexico ,2–1, Ecuador,2004
Argentina ,4–2, Uruguay,2004
Costa Rica ,0–1, Paraguay,2004
Brazil ,1–0, Chile,2004
Brazil ,4–1, Costa Rica,2004
Paraguay ,1–1, Chile,2004
Costa Rica ,2–1, Chile,2004
Brazil ,1–2, Paraguay,2004
Peru ,0–1, Argentina,2004
Colombia ,2–0, Costa Rica,2004
Paraguay ,1–3, Uruguay,2004
Mexico ,0–4, Brazil,2004
Argentina ,3–0, Colombia,2004
Brazil ,1–1, Uruguay,2004
Colombia ,1–2, Uruguay,2004
Argentina ,2–2, Brazil,2004
Uruguay ,0–3, Peru,2007
Venezuela ,2–2, Bolivia,2007
Bolivia ,0–1, Uruguay,2007
Venezuela ,2–0, Peru,2007
Peru ,2–2, Bolivia,2007
Venezuela ,0–0, Uruguay,2007
Ecuador ,2–3, Chile,2007
Brazil ,0–2, Mexico,2007
Brazil ,3–0, Chile,2007
Mexico ,2–1, Ecuador,2007
Mexico ,0–0, Chile,2007
Brazil ,1–0, Ecuador,2007
Paraguay ,5–0, Colombia,2007
Argentina ,4–1, United States,2007
United States ,1–3, Paraguay,2007
Argentina ,4–2, Colombia,2007
Colombia ,1–0, United States,2007
Argentina ,1–0, Paraguay,2007
Venezuela ,1–4, Uruguay,2007
Chile ,1–6, Brazil,2007
Mexico ,6–0, Paraguay,2007
Argentina ,4–0, Peru,2007
Uruguay ,2–2, Brazil,2007
Mexico ,0–3, Argentina,2007
Uruguay ,1–3, Mexico,2007
Brazil ,3–0, Argentina,2007
Colombia ,0–2 (a.e.t.), Peru,2011
Argentina ,1–1 (a.e.t.), Uruguay,2011
Brazil ,0–0 (a.e.t.), Paraguay,2011
Chile ,1–2, Venezuela,2011
Peru ,0–2, Uruguay,2011
Paraguay ,0–0 (a.e.t.), Venezuela,2011
Peru ,4–1, Venezuela,2011
Uruguay ,3–0, Paraguay,2011
Chile ,1–0, Uruguay,2015
Bolivia ,1–3, Peru,2015
Argentina ,0–0, Colombia,2015
Brazil ,1–1, Paraguay,2015
Chile ,2–1, Peru,2015
Argentina ,6–1, Paraguay,2015
Peru ,2–0, Paraguay,2015
Chile ,0–0, Argentina,2015
United States ,0–2, Colombia,2016
Costa Rica ,0–0, Paraguay,2016
United States ,4–0, Costa Rica,2016
Colombia ,2–1, Paraguay,2016
United States ,1–0, Paraguay,2016
Colombia ,2–3, Costa Rica,2016
Haiti ,0–1, Peru,2016
Brazil ,0–0, Ecuador,2016
Brazil ,7–1, Haiti,2016
Ecuador ,2–2, Peru,2016
Ecuador ,4–0, Haiti,2016
Brazil ,0–1, Peru,2016
Jamaica ,0–1, Venezuela,2016
Mexico ,3–1, Uruguay,2016
Uruguay ,0–1, Venezuela,2016
Mexico ,2–0, Jamaica,2016
Mexico ,1–1, Venezuela,2016
Uruguay ,3–0, Jamaica,2016
Panama ,2–1, Bolivia,2016
Argentina ,2–1, Chile,2016
Chile ,2–1, Bolivia,2016
Argentina ,5–0, Panama,2016
Chile ,4–2, Panama,2016
Argentina ,3–0, Bolivia,2016
United States ,2–1, Ecuador,2016
Peru ,0–0, Colombia,2016
Argentina ,4–1, Venezuela,2016
Mexico ,0–7, Chile,2016
United States ,0–4, Argentina,2016
Colombia ,0–2, Chile,2016
United States ,0–1, Colombia,2016
Argentina ,0–0, Chile,2016
Brazil ,3–0, Bolivia,2019
Venezuela ,0–0, Peru,2019
Bolivia ,1–3, Peru,2019
Brazil ,0–0, Venezuela,2019
Peru ,0–5, Brazil,2019
Bolivia ,1–3, Venezuela,2019
Argentina ,0–2, Colombia,2019
Paraguay ,2–2, Qatar,2019
Colombia ,1–0, Qatar,2019
Argentina ,1–1, Paraguay,2019
Qatar ,0–2, Argentina,2019
Colombia ,1–0, Paraguay,2019
Uruguay ,4–0, Ecuador,2019
Japan ,0–4, Chile,2019
Uruguay ,2–2, Japan,2019
Ecuador ,1–2, Chile,2019
Chile ,0–1, Uruguay,2019
Ecuador ,1–1, Japan,2019
Brazil ,0–0, Paraguay,2019
Venezuela ,0–2, Argentina,2019
Colombia ,0–0, Chile,2019
Uruguay ,0–0, Peru,2019
Brazil ,2–0, Argentina,2019
Chile ,0–3, Peru,2019
Argentina ,2–1, Chile,2019
Brazil ,3–1, Peru,2019
